encoding,condition,shift_freq,seed,final_fitness,fitness_jumps
folding,stable,NA,0,1.0,NA
direct,stable,NA,0,1.0,NA
folding,stable,NA,1,1.0,NA
direct,stable,NA,1,1.0,NA
folding,stable,NA,2,1.0,NA
direct,stable,NA,2,1.0,NA
folding,stable,NA,3,1.0,NA
direct,stable,NA,3,1.0,NA
folding,stable,NA,4,1.0,NA
direct,stable,NA,4,1.0,NA
folding,stable,NA,5,1.0,NA
direct,stable,NA,5,0.05,NA
folding,stable,NA,6,0.27666666666666667,NA
direct,stable,NA,6,1.0,NA
folding,stable,NA,7,0.7147619047619048,NA
direct,stable,NA,7,1.0,NA
folding,stable,NA,8,1.0,NA
direct,stable,NA,8,0.27666666666666667,NA
folding,stable,NA,9,0.7147619047619048,NA
direct,stable,NA,9,1.0,NA
folding,stable,NA,10,1.0,NA
direct,stable,NA,10,1.0,NA
folding,stable,NA,11,1.0,NA
direct,stable,NA,11,1.0,NA
folding,stable,NA,12,0.7147619047619048,NA
direct,stable,NA,12,0.7147619047619048,NA
folding,stable,NA,13,1.0,NA
direct,stable,NA,13,1.0,NA
folding,stable,NA,14,1.0,NA
direct,stable,NA,14,1.0,NA
folding,stable,NA,15,1.0,NA
direct,stable,NA,15,1.0,NA
folding,stable,NA,16,1.0,NA
direct,stable,NA,16,0.7147619047619048,NA
folding,stable,NA,17,1.0,NA
direct,stable,NA,17,0.05,NA
folding,stable,NA,18,1.0,NA
direct,stable,NA,18,1.0,NA
folding,stable,NA,19,1.0,NA
direct,stable,NA,19,1.0,NA
folding,stable,NA,20,1.0,NA
direct,stable,NA,20,0.05,NA
folding,stable,NA,21,1.0,NA
direct,stable,NA,21,1.0,NA
folding,stable,NA,22,1.0,NA
direct,stable,NA,22,1.0,NA
folding,stable,NA,23,1.0,NA
direct,stable,NA,23,1.0,NA
folding,stable,NA,24,0.7147619047619048,NA
direct,stable,NA,24,0.05,NA
folding,stable,NA,25,1.0,NA
direct,stable,NA,25,0.05,NA
folding,stable,NA,26,1.0,NA
direct,stable,NA,26,1.0,NA
folding,stable,NA,27,1.0,NA
direct,stable,NA,27,0.47523809523809524,NA
folding,stable,NA,28,1.0,NA
direct,stable,NA,28,1.0,NA
folding,stable,NA,29,1.0,NA
direct,stable,NA,29,0.05,NA
